,year,age,count
0,2000,<15,1.0
10,2001,<15,1.1221249346576059
20,2002,<15,1.093112911657083
30,2003,<15,1.0463277574490328
40,2004,<15,1.0344354417145845
50,2005,<15,1.0584814427600626
60,2006,<15,1.058546785154208
70,2007,<15,0.9691583899634083
80,2008,<15,0.9358337689492943
90,2009,<15,0.7813643491897543
100,2010,<15,0.6816518557239938
110,2011,<15,0.6363042341871407
120,2012,<15,0.6389179299529535
130,2013,<15,0.6100365917407213
140,2014,<15,0.7046523784631469
150,2015,<15,0.6491113434396236
160,2016,<15,0.6019994772608468
170,2017,<15,0.5965107161526398
180,2018,<15,0.5720073183481442
190,2019,<15,4.864545216936748
200,2020,<15,4.7884866701515945
210,2021,<15,6.741832200731835
220,2022,<15,6.392381076842655
230,2023,<15,6.142511761630947
1,2000,15-25,1.0
11,2001,15-25,1.0116637437458091
21,2002,15-25,1.029014287924898
31,2003,15-25,1.0575901377211534
41,2004,15-25,1.0930649404239954
51,2005,15-25,1.1332078196729767
61,2006,15-25,1.1707587558673338
71,2007,15-25,1.1789988136380047
81,2008,15-25,1.1974003198019292
91,2009,15-25,1.177070975395884
101,2010,15-25,1.1485402589364007
111,2011,15-25,1.1525829163872698
121,2012,15-25,1.1597978026512612
131,2013,15-25,1.1521251354000104
141,2014,15-25,1.1700753081962139
151,2015,15-25,1.1903853097436425
161,2016,15-25,1.198083767473049
171,2017,15-25,1.2096830350234693
181,2018,15-25,1.2173492546551814
191,2019,15-25,1.3253855676484243
201,2020,15-25,1.321194614948161
211,2021,15-25,1.3421364832103988
221,2022,15-25,1.33320008252953
231,2023,15-25,1.3923892298963223
2,2000,25-35,1.0
12,2001,25-35,0.98785584295775
22,2002,25-35,0.9817257910842025
32,2003,25-35,0.9894286852147787
42,2004,25-35,0.9972878553388417
52,2005,25-35,1.0017039124451144
62,2006,25-35,1.0060241874908629
72,2007,25-35,0.9770526347628385
82,2008,25-35,0.9784792833485408
92,2009,25-35,0.9783129250328936
102,2010,25-35,0.9747589064713384
112,2011,25-35,0.9811510987210574
122,2012,25-35,0.9861922598012774
132,2013,25-35,0.9953822964505185
142,2014,25-35,1.0190051772724293
152,2015,25-35,1.0617491820716147
162,2016,25-35,1.1176859054177357
172,2017,25-35,1.1795409518720352
182,2018,25-35,1.2336779807125178
192,2019,25-35,1.3371478118840332
202,2020,25-35,1.3861428564226912
212,2021,25-35,1.4552571748325074
222,2022,25-35,1.4326324439044802
232,2023,25-35,1.4757999062344038
3,2000,35-45,1.0
13,2001,35-45,1.009617846224895
23,2002,35-45,1.0191101986316153
33,2003,35-45,1.0367245109505905
43,2004,35-45,1.0550415886513431
53,2005,35-45,1.0684593876905624
63,2006,35-45,1.0784386561118
73,2007,35-45,1.0801805103080622
83,2008,35-45,1.0819022854934166
93,2009,35-45,1.0734339626430003
103,2010,35-45,1.0600412623674158
113,2011,35-45,1.0471706163754373
123,2012,35-45,1.0322268125072158
133,2013,35-45,1.0130613965956037
143,2014,35-45,0.9976306767128651
153,2015,35-45,0.9921290277240943
163,2016,35-45,0.9907987932514445
173,2017,35-45,0.9951408793602827
183,2018,35-45,1.0066310933523415
193,2019,35-45,1.0739108391520633
203,2020,35-45,1.1160165250259773
213,2021,35-45,1.1976628031303178
223,2022,35-45,1.2282883145176269
233,2023,35-45,1.3054168151676848
4,2000,45-55,1.0
14,2001,45-55,1.0257492586283046
24,2002,45-55,1.047706479904095
34,2003,45-55,1.0694554861505459
44,2004,45-55,1.0960754621742697
54,2005,45-55,1.1264243800870717
64,2006,45-55,1.1594864029276295
74,2007,45-55,1.19187330430942
84,2008,45-55,1.2252444949208152
94,2009,45-55,1.2539403116915895
104,2010,45-55,1.272029781058742
114,2011,45-55,1.2850779228973437
124,2012,45-55,1.2925231875828127
134,2013,45-55,1.2952993879740047
144,2014,45-55,1.3017856016152438
154,2015,45-55,1.3109723010915515
164,2016,45-55,1.3170357751277684
174,2017,45-55,1.3269859297116537
184,2018,45-55,1.3315098744400278
194,2019,45-55,1.3823080320524954
204,2020,45-55,1.3981891601993817
214,2021,45-55,1.4434538456684964
224,2022,45-55,1.4428481292195092
234,2023,45-55,1.4601615243863966
5,2000,55-65,1.0
15,2001,55-65,1.0346284269210875
25,2002,55-65,1.082974117286434
35,2003,55-65,1.1398930973044428
45,2004,55-65,1.1939287698526735
55,2005,55-65,1.2441423836618963
65,2006,55-65,1.2827461348353353
75,2007,55-65,1.3169243443109757
85,2008,55-65,1.3590053068183996
95,2009,55-65,1.4042282123493688
105,2010,55-65,1.4452937908308907
115,2011,55-65,1.4840412284230895
125,2012,55-65,1.5140716899438664
135,2013,55-65,1.53436979136732
145,2014,55-65,1.5635477134701228
155,2015,55-65,1.6033488514665595
165,2016,55-65,1.646445197999885
175,2017,55-65,1.6948962584056555
185,2018,55-65,1.7431269996359944
195,2019,55-65,1.869753050941625
205,2020,55-65,1.921738797248884
215,2021,55-65,2.0111596451903364
225,2022,55-65,2.0350690652719505
235,2023,55-65,2.0641033009559937
6,2000,65-70,1.0
16,2001,65-70,0.9868885409119592
26,2002,65-70,0.9924042349311707
36,2003,65-70,1.013555519199757
46,2004,65-70,1.047140486596396
56,2005,65-70,1.094257601607965
66,2006,65-70,1.1521256456400308
76,2007,65-70,1.2112791268375909
86,2008,65-70,1.2530908920933927
96,2009,65-70,1.28066936218945
106,2010,65-70,1.3164980017294974
116,2011,65-70,1.3505737724075069
126,2012,65-70,1.4131395049898334
136,2013,65-70,1.5061817841867857
146,2014,65-70,1.6052539322691473
156,2015,65-70,1.683104681328441
166,2016,65-70,1.7460209876831747
176,2017,65-70,1.7774323976908875
186,2018,65-70,1.7928810152616448
196,2019,65-70,1.8496038516371796
206,2020,65-70,1.8974221141935634
216,2021,65-70,1.9707154042115596
226,2022,65-70,2.0271811531539954
236,2023,65-70,2.094140743683829
7,2000,>=70,1.0
17,2001,>=70,1.023376771833562
27,2002,>=70,1.0472584209724127
37,2003,>=70,1.0649481786313062
47,2004,>=70,1.0827903520804756
57,2005,>=70,1.1088153482700809
67,2006,>=70,1.1184175430574608
77,2007,>=70,1.142280140222527
87,2008,>=70,1.1638660265203475
97,2009,>=70,1.189471879286694
107,2010,>=70,1.2175925925925926
117,2011,>=70,1.2558965858862978
127,2012,>=70,1.2969916933394299
137,2013,>=70,1.331780597469898
147,2014,>=70,1.3635307117817406
157,2015,>=70,1.4060261393080322
167,2016,>=70,1.4496932632220698
177,2017,>=70,1.508106614845298
187,2018,>=70,1.5762936290199665
197,2019,>=70,1.6577312909617437
207,2020,>=70,1.7293286084438348
217,2021,>=70,1.8004782045419905
227,2022,>=70,1.870789513793629
237,2023,>=70,1.9441586648376772
8,2000,>=65,1.0
18,2001,>=65,1.0137637238058133
28,2002,>=65,1.0338504576198657
38,2003,>=65,1.053298503554298
48,2004,>=65,1.0779965638592077
58,2005,>=65,1.114625313755421
68,2006,>=65,1.1389976432417241
78,2007,>=65,1.1692267405841439
88,2008,>=65,1.1931200541607323
98,2009,>=65,1.2232661220788013
108,2010,>=65,1.2571932222442215
118,2011,>=65,1.3012562990592127
128,2012,>=65,1.3527920240657594
138,2013,>=65,1.4007638707040257
148,2014,>=65,1.4490167400093248
158,2015,>=65,1.5002075735608766
168,2016,>=65,1.547387447228414
178,2017,>=65,1.5974925113846115
188,2018,>=65,1.6483640009963532
198,2019,>=65,1.727861481372668
208,2020,>=65,1.7932631202457672
218,2021,>=65,1.8676638713427136
228,2022,>=65,1.9335125917315468
238,2023,>=65,2.004611326490857
9,2000,all,1.0
19,2001,all,1.0130438335733913
29,2002,all,1.0275576394634958
39,2003,all,1.0489176958515931
49,2004,all,1.0731349534696046
59,2005,all,1.0986362661273024
69,2006,all,1.1205387514939782
79,2007,all,1.1290102458807065
89,2008,all,1.146040064151676
99,2009,all,1.1520466223325467
109,2010,all,1.1544226859938913
119,2011,all,1.1648595915949047
129,2012,all,1.1755876313934601
139,2013,all,1.1823000623129336
149,2014,all,1.200179788136026
159,2015,all,1.2237555289959445
169,2016,all,1.2483497287855108
179,2017,all,1.2779473506788024
189,2018,all,1.3059432237238617
199,2019,all,1.457890758276894
209,2020,all,1.4923590042188921
219,2021,all,1.584538220301758
229,2022,all,1.5917757143003075
239,2023,all,1.638406219035069
